R1, R2, C1, C2
9A, B6, 2, 19
88, 60, 2, 1A
1E, 71, 2, 1B
A0, B6, 2, 1C
9C, 89, 2, 1D
B9, 54, 2, 1E
97, 34, 2, 1F
18, BE, 2, 20
90, 33, 2, 21
DC, F8, 2, 22
BB, BB, 2, 23
9A, 9E, 2, 24
89, 93, 2, 25
11, 3C, 2, 26
D6, B9, 2, 27
9C, EE, 2, 28
BA, 2F, 2, 29
8D, C1, 2, 2A
34, C9, 2, 2B
90, 72, 2, 2C
DD, 63, 2, 2D
B6, C6, 2, 2E
9A, EA, 2, 2F
89, 46, 2, 30
14, 87, 2, 31
FC, CC, 2, 32
9C, AF, 2, 33
BB, 8A, 2, 34
82, 4A, 2, 35
40, C4, 2, 36
90, 11, 2, 37
DF, CE, 2, 38
A1, CD, 2, 39
9A, EA, 2, 3A
89, 9, 2, 3B
17, D2, 2, 3C
E2, D7, 2, 3D
9C, A8, 2, 3E
BB, 25, 2, 3F
B8, D7, 2, 40
9C, DE, 2, 41
91, D0, 2, 42
D0, B9, 2, 43
DC, D8, 2, 44
9A, 9E, 2, 45
8A, EC, 2, 46
9, 1D, 2, 47
8, DA, 2, 48
9C, 4D, 2, 49
BC, 40, 2, 4A
BD, 60, 2, 4B
A8, EB, 2, 4C
91, D7, 2, 4D
D1, 24, 2, 4E
D7, E7, 2, 4F
9A, B6, 2, 50
8A, 6F, 2, 51
C, 68, 2, 52
3E, ED, 2, 53
9C, 42, 2, 54
BD, BB, 2, 55
B3, ED, 2, 56
C4, E4, 2, 57
91, 8E, 2, 58
D3, CF, 2, 59
C2, F2, 2, 5A
9A, AA, 2, 5B
8A, 12, 2, 5C
F, B3, 2, 5D
24, F0, 2, 5E
9C, 4B, 2, 5F
BE, F6, 2, 60
A8, 76, 2, 61
10, F1, 2, 62
91, 75, 2, 63
D4, 7A, 2, 64
FD, F9, 2, 65
9A, 9A, 2, 66
8B, C5, 2, 67
2, FE, 2, 68
4A, FB, 2, 69
9C, D4, 2, 6A
BE, B1, 2, 6B
AE, 3, 2, 6C
2C, A, 2, 6D
91, BC, 2, 6E
D5, E5, 2, 6F
E8, 4, 2, 70
9A, 76, 2, 71
8B, 98, 2, 72
4, C9, 2, 73
70, E, 2, 74
9C, E1, 2, 75
BF, 6C, 2, 76
A3, 8C, 2, 77
78, 7, 2, 78
91, EB, 2, 79
D7, 50, 2, 7A
E3, 13, 2, 7B
9A, 6E, 2, 7C
8B, FB, 2, 7D
7, 94, 2, 7E
66, 11, 2, 7F
9D, 16, 2, 80
B0, 7, 2, 81
D9, 19, 2, 82
94, 13, 2, 83
92, A, 2, 84
C8, BB, 2, 85
1E, 1E, 2, 86
9A, 9A, 2, 87
8C, 5E, 2, 88
3A, 5F, 2, 89
8C, 25, 2, 8A
9D, 37, 2, 8B
B0, E2, 2, 8C
DE, A2, 2, 8D
A0, 2E, 2, 8E
92, 19, 2, 8F
CA, 26, 2, 90
9, 25, 2, 91
9A, BA, 2, 92
8C, B1, 2, 93
3D, 2A, 2, 94
B2, 2E, 2, 95
9D, 0, 2, 96
B1, 5D, 2, 97
D4, 2F, 2, 98
FC, 25, 2, 99
92, 58, 2, 9A
CB, 51, 2, 9B
4, 30, 2, 9C
9A, AE, 2, 9D
8C, C4, 2, 9E
3F, F5, 2, 9F
D8, 33, 2, A0
9D, 75, 2, A1
B2, 18, 2, A2
C9, B8, 2, A3
8, 30, 2, A4
92, AF, 2, A5
CC, FC, 2, A6
3F, 3F, 2, A7
9A, 96, 2, A8
8D, 77, 2, A9
32, C0, 2, AA
CE, 44, 2, AB
9D, 1A, 2, AC
B2, 93, 2, AD
CF, 45, 2, AE
24, 4F, 2, AF
92, 86, 2, B0
CE, 67, 2, B1
2A, 4A, 2, B2
9A, FA, 2, B3
8D, EA, 2, B4
35, B, 2, B5
F4, 49, 2, B6
9D, 23, 2, B7
B3, CE, 2, B8
C4, CE, 2, B9
70, 5A, 2, BA
92, BD, 2, BB
CF, D2, 2, BC
25, 51, 2, BD
9A, EA, 2, BE
8D, AD, 2, BF
28, 56, 2, C0
1A, 52, 2, C1
9D, DC, 2, C2
B4, 69, 2, C3
FA, 5B, 2, C4
8C, 50, 2, C5
93, 44, 2, C6
C0, BD, 2, C7
50, 5C, 2, C8
9A, 96, 2, C9
8E, 30, 2, CA
2A, A1, 2, CB
0, 67, 2, CC
9D, F9, 2, CD
B4, 84, 2, CE
FF, E4, 2, CF
D8, 6D, 2, D0
93, 23, 2, D1
C2, 28, 2, D2
4B, 6B, 2, D3
9A, BE, 2, D4
8E, C3, 2, D5
2D, EC, 2, D6
36, 68, 2, D7
9D, DE, 2, D8
7D, 0, 2, D9
F5, 71, 2, DA
F4, 7A, 2, DB
93, 2, 2, DC
C3, D3, 2, DD
46, 76, 2, DE
9A, AA, 2, DF
8F, 76, 2, E0
20, 37, 2, E1
5C, 7D, 2, E2
9D, BF, 2, E3
B6, 3A, 2, E4
EA, FA, 2, E5
0, 77, 2, E6
93, E1, 2, E7
C5, 7E, 2, E8
71, 7D, 2, E9
9A, 6A, 2, EA
8F, D9, 2, EB
23, 82, 2, EC
42, 86, 2, ED
9D, 58, 2, EE
B6, 75, 2, EF
E0, 87, 2, F0
5C, 8C, 2, F1
93, 40, 2, F2
C6, E9, 2, F3
6C, 88, 2, F4
9A, 7E, 2, F5
8F, 3C, 2, F6
25, 4D, 2, F7
68, 8B, 2, F8
9D, 7D, 2, F9
B7, 30, 2, FA
E5, 10, 2, FB
68, 99, 2, FC
93, 67, 2, FD
C7, 54, 2, FE
67, 97, 2, FF
81, 96, 3, 0
59, D7, 3, 1
9D, 9E, 3, 2
9F, 9F, 3, 3
A9, DA, 3, 4
1B, 1A, 3, 5
81, 90, 3, 6
95, 81, 3, 7
F8, 9E, 3, 8
90, 9C, 3, 9
9A, AA, 3, A
81, F9, 3, B
5A, A2, 3, C
83, A5, 3, D
9F, B8, 3, E
A9, 55, 3, F
11, A7, 3, 10
DD, AB, 3, 11
95, E0, 3, 12
FB, C9, 3, 13
8D, A9, 3, 14
9A, BE, 3, 15
81, 1C, 3, 16
5C, 6D, 3, 17
A9, A8, 3, 18
9F, 9D, 3, 19
A8, 10, 3, 1A
14, 30, 3, 1B
E9, BE, 3, 1C
95, C7, 3, 1D
FA, 74, 3, 1E
86, B6, 3, 1F
9A, 96, 3, 20
80, BF, 3, 21
51, 38, 3, 22
DF, BF, 3, 23
9F, F2, 3, 24
AB, EB, 3, 25
A, BD, 3, 26
5, B1, 3, 27
95, 1E, 3, 28
FC, 9F, 3, 29
B3, C3, 3, 2A
9A, EA, 3, 2B
80, A2, 3, 2C
52, 83, 3, 2D
C5, C2, 3, 2E
9F, 9B, 3, 2F
AA, C6, 3, 30
1, 46, 3, 31
51, C4, 3, 32
95, 5, 3, 33
FF, 4A, 3, 34
AC, C8, 3, 35
9A, FA, 3, 36
80, 75, 3, 37
57, CE, 3, 38
EB, C9, 3, 39
9F, A4, 3, 3A
AA, 61, 3, 3B
7, D3, 3, 3C
6D, DF, 3, 3D
95, 2C, 3, 3E
FE, 35, 3, 3F
D9, D5, 3, 40
9A, 96, 3, 41
83, C8, 3, 42
49, 19, 3, 43
11, DC, 3, 44
9F, 51, 3, 45
AD, BC, 3, 46
3A, 5C, 3, 47
B9, D3, 3, 48
94, FB, 3, 49
F0, A0, 3, 4A
D2, E2, 3, 4B
9A, AE, 3, 4C
83, 8B, 3, 4D
4A, 64, 3, 4E
7, E3, 3, 4F
9F, 46, 3, 50
AC, F7, 3, 51
30, E9, 3, 52
D5, E4, 3, 53
94, BA, 3, 54
F3, 4B, 3, 55
CF, EF, 3, 56
9A, BA, 3, 57
83, 2E, 3, 58
4F, AF, 3, 59
2D, F6, 3, 5A
9F, 47, 3, 5B
AC, 32, 3, 5C
37, 72, 3, 5D
E1, F9, 3, 5E
94, 89, 3, 5F
F5, F6, 3, 60
F8, F4, 3, 61
9A, 9A, 3, 62
82, E1, 3, 63
40, FA, 3, 64
53, FD, 3, 65
9F, 30, 3, 66
AF, 8D, 3, 67
2D, FF, 3, 68
3D, F2, 3, 69
94, A8, 3, 6A
F4, 61, 3, 6B
F5, 1, 3, 6C
9A, 6E, 3, 6D
82, 74, 3, 6E
42, C5, 3, 6F
79, 0, 3, 70
9F, E5, 3, 71
AE, 28, 3, 72
20, 88, 3, 73
49, 7, 3, 74
94, DF, 3, 75
F7, CC, 3, 76
EE, E, 3, 77
9A, 76, 3, 78
82, C7, 3, 79
47, 90, 3, 7A
6F, 17, 3, 7B
9F, EA, 3, 7C
AE, C3, 3, 7D
26, 15, 3, 7E
65, 18, 3, 7F
97, 16, 3, 80
E9, 37, 3, 81
1B, 1B, 3, 82
9A, 9A, 3, 83
85, 3A, 3, 84
78, 5B, 3, 85
95, 1B, 3, 86
9E, 13, 3, 87
A1, 9E, 3, 88
5D, 9E, 3, 89
B1, 2E, 3, 8A
97, D, 3, 8B
E8, A2, 3, 8C
14, 20, 3, 8D
9A, AA, 3, 8E
85, 5D, 3, 8F
7D, 26, 3, 90
BB, 20, 3, 91
